election_name,precinct_name,organization_name,race1_name,race1_gfx,race2_name,race2_gfx,race3_name,race3_gfx,race4_name,race4_gfx,race5_name,race5_gfx,race6_name,race6_gfx,school,magisterial
2018 Mid-Term Election,HORSHAM 1-1,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 1-2,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 1-3,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 1-4,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 1-5,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 2-1 (1st),HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 1st Congressional,wallace.jpg,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 2-1 (4th),HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 2-2,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 2-3,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 1st Congressional,wallace.jpg,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 2-4,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 3-1,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 3-2,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-22
2018 Mid-Term Election,HORSHAM 3-3,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-14
2018 Mid-Term Election,HORSHAM 3-4,HorshamDems.Org,Pennsylvania Governor,wolf.jpg,Pennsylvania Lt. Governor,fetterman.png,PA House 151st,johnsonrothman.jpg,PA Senate 12th,collett.jpg,PA 4th Congressional,dean.png,U.S. Senate,casey.png,Hatboro-Horsham,38-1-14
